city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Bagley,Bagley,MN,Minnesota,27029,Clearwater,27029,Clearwater,47.5239,-95.4041,1414,275,polygon,FALSE,TRUE,America/Chicago,3,56621,1840042067
Menahga,Menahga,MN,Minnesota,27159,Wadena,27159,Wadena,46.7471,-95.1012,1313,136,polygon,FALSE,TRUE,America/Chicago,3,56464,1840042707
Skyline,Skyline,MN,Minnesota,27013,Blue Earth,27013,Blue Earth,44.1408,-94.034,297,591,polygon,FALSE,TRUE,America/Chicago,3,56001,1840043005
Shoreview,Shoreview,MN,Minnesota,27123,Ramsey,27123,Ramsey,45.0842,-93.1358,26794,959,polygon,FALSE,TRUE,America/Chicago,3,55126,1840043000
Cologne,Cologne,MN,Minnesota,27019,Carver,27019,Carver,44.7695,-93.7931,1648,361,polygon,FALSE,TRUE,America/Chicago,3,55322,1840042230
Robbinsdale,Robbinsdale,MN,Minnesota,27053,Hennepin,27053,Hennepin,45.0261,-93.3332,14544,2009,polygon,FALSE,TRUE,America/Chicago,2,55422,1840042909
Dexter,Dexter,MN,Minnesota,27099,Mower,27099,Mower,43.7196,-92.7019,339,91,polygon,FALSE,TRUE,America/Chicago,3,55926,1840042288
Lake Bronson,Lake Bronson,MN,Minnesota,27069,Kittson,27069,Kittson,48.7322,-96.664,202,147,polygon,FALSE,TRUE,America/Chicago,3,56734,1840042591
Mounds View,Mounds View,MN,Minnesota,27123,Ramsey,27123,Ramsey,45.1072,-93.2078,13098,1264,polygon,FALSE,TRUE,America/Chicago,3,55112,1840042745
Marietta,Marietta,MN,Minnesota,27073,Lac qui Parle,27073,Lac qui Parle,45.0105,-96.419,146,153,polygon,FALSE,TRUE,America/Chicago,3,56257,1840042686
Lester Prairie,Lester Prairie,MN,Minnesota,27085,McLeod,27085,McLeod,44.8829,-94.0375,1715,742,polygon,FALSE,TRUE,America/Chicago,3,55354,1840042626
Bricelyn,Bricelyn,MN,Minnesota,27043,Faribault,27043,Faribault,43.5607,-93.813,341,453,polygon,FALSE,TRUE,America/Chicago,3,56014,1840042144
Hazel Run,Hazel Run,MN,Minnesota,27173,Yellow Medicine,27173,Yellow Medicine,44.7484,-95.7165,59,29,polygon,FALSE,TRUE,America/Chicago,3,56241,1840042490
Milaca,Milaca,MN,Minnesota,27095,Mille Lacs,27095,Mille Lacs,45.7573,-93.6522,2777,338,polygon,FALSE,TRUE,America/Chicago,3,56353,1840042716
Barry,Barry,MN,Minnesota,27011,Big Stone,27011,Big Stone,45.5582,-96.5604,15,22,polygon,FALSE,TRUE,America/Chicago,3,56210 56240,1840042074
Breckenridge,Breckenridge,MN,Minnesota,27167,Wilkin,27167,Wilkin,46.2662,-96.585,3224,492,polygon,FALSE,TRUE,America/Chicago,3,56520,1840042141
Odessa,Odessa,MN,Minnesota,27011,Big Stone,27011,Big Stone,45.2622,-96.3335,132,52,polygon,FALSE,TRUE,America/Chicago,3,56276,1840042795
Clements,Clements,MN,Minnesota,27127,Redwood,27127,Redwood,44.3801,-95.0548,142,145,polygon,FALSE,TRUE,America/Chicago,3,56224,1840042215
Mound,Mound,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.9336,-93.6608,9517,1290,polygon,FALSE,TRUE,America/Chicago,3,55364,1840042744
Elgin,Elgin,MN,Minnesota,27157,Wabasha,27157,Wabasha,44.1257,-92.2471,1082,446,polygon,FALSE,TRUE,America/Chicago,3,55932,1840042330
Sobieski,Sobieski,MN,Minnesota,27097,Morrison,27097,Morrison,45.923,-94.482,197,19,polygon,FALSE,TRUE,America/Chicago,3,56345,1840043010
Lakeville,Lakeville,MN,Minnesota,27037,Dakota,27037,Dakota,44.6776,-93.2521,63748,681,polygon,FALSE,TRUE,America/Chicago,3,55044,1840042606
McGregor,McGregor,MN,Minnesota,27001,Aitkin,27001,Aitkin,46.6087,-93.306,367,70,polygon,FALSE,TRUE,America/Chicago,3,55760,1840042700
